group_window_id,video_id,context,window_start_sec,window_end_sec,active_tracks,mean_distance_5s_px,median_distance_5s_px,mean_distance_last_1s_px,mean_speed_px_s,mean_immobile_ratio,mean_y_norm,std_y_norm_between_tracks,mean_x_norm,std_x_norm_between_tracks
V4_BREEDING:GW000082000,V4_BREEDING,BREEDING_PARENTAL_CARE,82.0,87.0,1,22.17639604261739,22.17639604261739,3.0820765249170217,4.4458916170354525,0.9790209790209791,0.4353734281327989,0.0,0.5933787571059334,0.0
V4_BREEDING:GW000083000,V4_BREEDING,BREEDING_PARENTAL_CARE,83.0,88.0,1,19.812953351284136,19.812953351284136,3.097005298143853,4.000044403028643,0.9788732394366197,0.43582088641631306,0.0,0.5932027778425417,0.0
V4_BREEDING:GW000084000,V4_BREEDING,BREEDING_PARENTAL_CARE,84.0,89.0,1,19.917745740338678,19.917745740338678,4.860548418109529,4.0212009768056785,0.9788732394366197,0.43626893772667646,0.0,0.5930180346215522,0.0
V4_BREEDING:GW000085000,V4_BREEDING,BREEDING_PARENTAL_CARE,85.0,90.0,1,21.39222476001283,21.39222476001283,6.216424161216184,4.2886820990888,0.965034965034965,0.4363175531228383,0.0,0.5928313035104009,0.0
V4_BREEDING:GW000086000,V4_BREEDING,BREEDING_PARENTAL_CARE,86.0,91.0,1,27.902803523256267,27.902803523256267,9.786153045896546,5.633307214886883,0.9225352112676056,0.436722855023293,0.0,0.5931592147667091,0.0
V4_BREEDING:GW000087000,V4_BREEDING,BREEDING_PARENTAL_CARE,87.0,92.0,1,32.303491392061176,32.303491392061176,7.355765492354682,6.521763699237751,0.9014084507042254,0.43712216701818796,0.0,0.5935595529062765,0.0
V4_BREEDING:GW000088000,V4_BREEDING,BREEDING_PARENTAL_CARE,88.0,93.0,1,33.6656760489429,33.6656760489429,4.292563449600466,6.749245758426441,0.9020979020979021,0.43739944133493636,0.0,0.5939781198898952,0.0
V4_BREEDING:GW000089000,V4_BREEDING,BREEDING_PARENTAL_CARE,89.0,94.0,1,34.87294909514381,34.87294909514381,6.336602462198134,7.0405124552562075,0.8873239436619719,0.4376055746367484,0.0,0.5944427380195031,0.0
V4_BREEDING:GW000090000,V4_BREEDING,BREEDING_PARENTAL_CARE,90.0,95.0,1,34.68939706018705,34.68939706018705,5.397058435524569,7.003455067744041,0.8873239436619719,0.43701064492161174,0.0,0.5948954480511326,0.0
V4_BREEDING:GW000091000,V4_BREEDING,BREEDING_PARENTAL_CARE,91.0,96.0,1,28.965698603599975,28.965698603599975,4.176813484870987,5.807001117576924,0.9300699300699301,0.4359785627435755,0.0,0.5948531601164075,0.0
