window_start_sec,window_end_sec,window_mid_sec,n_points,coverage_ratio,observed_ratio,interpolated_ratio,distance_5s_px,distance_last_1s_px,net_displacement_px,path_efficiency,mean_speed_px_s,median_speed_px_s,max_speed_px_s,speed_std_px_s,mean_speed_norm_s,max_speed_norm_s,mean_abs_accel_px_s2,mean_abs_turn_rad,immobile_ratio,x_mean_norm,x_std_norm,x_range_norm,y_mean_norm,y_std_norm,y_range_norm,bbox_area_mean_norm,window_id,video_id,context,pred_track_id,trajectory_uid
114.0,119.0,116.5,143,1.0,1.0,0.0,141.67339592846912,18.004887785921106,39.99966174006861,0.28233714225544815,28.41665415861115,18.944540438778912,150.9131422210997,30.356134114617863,0.017760408849131968,0.0943207138881873,525.1452671762063,0.6701142429855499,0.45774647887323944,0.8885059693476539,0.013323668234044428,0.03761997222900404,0.19216672493305512,0.013595740353177222,0.04467183351516721,0.016121129375940613,V5_NORMAL:T69:S2:W000114000,V5_NORMAL,NORMAL,69,V5_NORMAL:T69:S2
3.0,8.0,5.5,142,1.0,1.0,0.0,139.00006696584833,26.964086857430747,74.91687301084761,0.5389700497716619,28.078175153978975,22.661369652043412,137.67625106527694,22.095387317994497,0.017548859471236862,0.08604765691579809,609.8673860888252,0.6143490602427649,0.3404255319148936,0.1292192191095419,0.016181389088030577,0.05835418403148651,0.8243356071167709,0.006149166077921755,0.02310136159261067,0.009642147267164614,V5_NORMAL:T6:S0:W000003000,V5_NORMAL,NORMAL,6,V5_NORMAL:T6:S0
4.0,9.0,6.5,143,1.0,1.0,0.0,139.3805666798077,36.25984010427098,43.923469870676485,0.31513338564320637,27.956761633435598,21.83238870031295,117.37506023057713,23.04979099098941,0.01747297602089725,0.07335941264411071,597.9330053459228,0.6541861940187701,0.3591549295774648,0.13851264952779646,0.015044773639108174,0.0490689843893051,0.8240962353063909,0.005727574989967191,0.020785713195800803,0.009720624915400123,V5_NORMAL:T6:S0:W000004000,V5_NORMAL,NORMAL,6,V5_NORMAL:T6:S0
84.0,89.0,86.5,142,1.0,1.0,0.0,412.13034204543266,43.76970756021018,70.43446186418299,0.17090336400521172,83.25080831122297,60.54122531591311,299.9109348537978,69.9003747448682,0.05203175519451437,0.18744433428362364,1160.8161515085812,0.48850966471290747,0.1347517730496454,0.9096542049461687,0.013835157875321753,0.053479909896850586,0.7141070209198713,0.03932306010732263,0.17363866170247388,0.012147635644749953,V5_NORMAL:T77:S0:W000084000,V5_NORMAL,NORMAL,77,V5_NORMAL:T77:S0
85.0,90.0,87.5,143,1.0,1.0,0.0,358.35537446868534,23.359616875998753,79.43949236543628,0.22167797115703103,71.8784262593546,41.67445167380672,299.9109348537978,69.61799191930704,0.044924016412096625,0.18744433428362364,1057.4901792002433,0.5892745881056111,0.19718309859154928,0.8991314051034568,0.014294824586810785,0.049890089035034224,0.7110314224705552,0.04205286783401411,0.15785633722941084,0.012232207542820657,V5_NORMAL:T77:S0:W000085000,V5_NORMAL,NORMAL,77,V5_NORMAL:T77:S0
86.0,91.0,88.5,142,1.0,1.0,0.0,211.09171634666723,17.68494982269416,112.01088434791578,0.5306266218612052,42.64077215582906,29.75120568120444,250.61835731160676,44.106068889731645,0.026650482597393166,0.15663647331975422,830.9484681496148,0.6364398427774491,0.28368794326241137,0.8916989460797379,0.015012236730730077,0.045553731918335116,0.6882594755557783,0.03148230765946974,0.09981594085693368,0.013036957794842059,V5_NORMAL:T77:S0:W000086000,V5_NORMAL,NORMAL,77,V5_NORMAL:T77:S0
87.0,92.0,89.5,143,1.0,1.0,0.0,192.10017140711744,23.23425483669077,67.45507206372665,0.35114529867216654,38.53118716404927,27.78442564673142,250.61835731160676,39.74565247596318,0.024081991977530796,0.15663647331975422,771.1356054655777,0.6170159650940619,0.30985915492957744,0.8848922676139778,0.011504387563921425,0.04217338562011719,0.6747867086272695,0.026991663723208617,0.08833789825439453,0.013836690214073247,V5_NORMAL:T77:S0:W000087000,V5_NORMAL,NORMAL,77,V5_NORMAL:T77:S0
6.0,11.0,8.5,143,1.0,1.0,0.0,60.337027070547336,20.967271844537233,27.48164140712937,0.4554689341090215,12.102317587476193,8.778691620142531,88.48929714763531,12.559007454651832,0.007563948492172622,0.05530581071727207,304.2412064396777,0.7524440146926636,0.676056338028169,0.39192245873537934,0.0018562542764645556,0.009887242317199785,0.8219163038791754,0.007032948066413002,0.02904777526855462,0.009083540573362331,V5_NORMAL:T7:S0:W000006000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
7.0,12.0,9.5,142,1.0,1.0,0.0,73.87280299345997,21.249242799764474,29.941632072698404,0.4053133339931499,14.92239210269854,11.369487017010064,88.48929714763531,13.698489299439712,0.009326495064186587,0.05530581071727207,352.2566925911002,0.7130213389316257,0.5886524822695035,0.39229415059089656,0.0029107227350668864,0.015440869331359908,0.8279693187122615,0.010677162434958776,0.03454370498657222,0.008972921443944522,V5_NORMAL:T7:S0:W000007000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
8.0,13.0,10.5,143,1.0,1.0,0.0,114.8397541423851,49.24013609286647,12.396538591170541,0.10794640482946856,23.03439933614587,16.544356396289565,127.99901611769091,24.974996747923996,0.014396499585091172,0.07999938507355682,470.2667502219094,0.6328466263102946,0.4788732394366197,0.3951075281296576,0.006827242867773618,0.023485863208770774,0.8300383772327627,0.010037403824167113,0.03708295822143559,0.009024211520590035,V5_NORMAL:T7:S0:W000008000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
9.0,14.0,11.5,142,1.0,1.0,0.0,131.70880712530004,25.663881128122917,34.42180857185803,0.2613478120647706,26.60533218803711,20.916004265673443,127.99901611769091,25.877313961832147,0.016628332617523195,0.07999938507355682,523.5801067868101,0.6015808216794537,0.3971631205673759,0.397537986325546,0.007369024701358689,0.023485863208770774,0.8264238498580287,0.01530164728683202,0.0548088391621907,0.00879862596214742,V5_NORMAL:T7:S0:W000009000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
10.0,15.0,12.5,143,1.0,1.0,0.0,136.54878817523195,13.466648114974028,38.49587514063824,0.281920298635216,27.388767410589676,22.033489451943765,127.99901611769091,25.581915406365944,0.01711797963161855,0.07999938507355682,538.7831210363724,0.564976236506503,0.3591549295774648,0.39958062530397526,0.006622283865340809,0.023485863208770774,0.8195423079537345,0.02086543082484611,0.0607435544331868,0.008379442758787168,V5_NORMAL:T7:S0:W000010000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
11.0,16.0,13.5,142,1.0,1.0,0.0,127.43010362805165,13.559781682931794,52.32700892253083,0.41063302495040815,25.74102910639043,20.916004265673443,127.99901611769091,25.781589323301944,0.016088143191494018,0.07999938507355682,527.0952129552817,0.5792993285479145,0.425531914893617,0.4012024088644645,0.004791169163217164,0.019863450527191184,0.8112128548778839,0.022055134861788995,0.0607435544331868,0.008172309442117593,V5_NORMAL:T7:S0:W000011000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
12.0,17.0,14.5,143,1.0,1.0,0.0,118.73849153145778,13.661909267623724,46.402614173827025,0.3907967296479712,23.81640269898244,17.741013487428855,127.99901611769091,26.134125380081016,0.01488525168686403,0.07999938507355682,496.3584077064879,0.6245672088207023,0.4788732394366197,0.4019747252230878,0.003989922648638408,0.015019142627716087,0.8008757811326247,0.014491466585676445,0.05409304300944007,0.008059005292911967,V5_NORMAL:T7:S0:W000012000,V5_NORMAL,NORMAL,7,V5_NORMAL:T7:S0
94.0,99.0,96.5,142,1.0,0.9859154929577465,0.014084507042253521,326.09101250497343,54.685526226251135,232.19157709223322,0.7120453130817026,65.87076369900251,47.59447079127423,282.6763114543052,58.21649228909222,0.04116922731187657,0.17667269465894075,857.6954333245027,0.5000765487820817,0.19148936170212766,0.8324703107417468,0.05604637237776454,0.1565182447433472,0.7647872895701952,0.06331399207896125,0.15408417383829753,0.017103862373412784,V5_NORMAL:T89:S0:W000094000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
95.0,100.0,97.5,143,1.0,1.0,0.0,339.97975967914897,45.592168701972234,283.4328631289705,0.8336756970369537,68.19267081455754,49.16156367355893,282.6763114543052,57.77499350641185,0.04262041925909847,0.17667269465894075,793.7318108319267,0.4729945508802131,0.1619718309859155,0.7993730329967045,0.06407739669687204,0.185023021697998,0.7940229211375985,0.0609580488082941,0.1670426368713379,0.017481422432805007,V5_NORMAL:T89:S0:W000095000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
96.0,101.0,98.5,142,1.0,1.0,0.0,385.8340728366203,75.91016633980338,342.53309646035405,0.8877730625034719,77.93893135419417,57.79701273149857,282.6763114543052,64.14261103817894,0.04871183209637136,0.17667269465894075,840.4281918926863,0.3757053621925971,0.12056737588652482,0.7590836486346285,0.062245040718742754,0.2361650228500366,0.8278109684796401,0.04157826168434485,0.16779867808024096,0.01761415828972698,V5_NORMAL:T89:S0:W000096000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
97.0,102.0,99.5,143,1.0,1.0,0.0,471.283418727467,202.792960191383,423.9546746425788,0.8995747734713804,94.52937746638567,58.48090367921439,750.549289901721,104.62876488342133,0.05908086091649102,0.4690933061885756,1201.0859368952488,0.35462980499615243,0.1267605633802817,0.6980556821489666,0.08473285539231856,0.32885494232177737,0.8499945382693987,0.016546799714568423,0.08237794240315754,0.018102819879684654,V5_NORMAL:T89:S0:W000097000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
98.0,103.0,100.5,142,1.0,1.0,0.0,564.3447289993813,161.64120803550526,483.9107115929289,0.8574736091731254,113.99829146818135,63.354951744061516,750.549289901721,117.98022835587861,0.07124893216761334,0.4690933061885756,1335.486413289364,0.3267625258211065,0.11347517730496454,0.6208623685467412,0.12829268262946378,0.3922792792320252,0.8576812726231249,0.012473052463456546,0.046813138326009085,0.0177825284459427,V5_NORMAL:T89:S0:W000098000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
99.0,104.0,101.5,143,1.0,1.0,0.0,619.5986908328937,107.70831617964603,332.83054976483805,0.5371711636727824,124.27824997868636,89.9457228495113,750.549289901721,113.90178053265299,0.07767390623667898,0.4690933061885756,1375.348813269442,0.27281769044966075,0.08450704225352113,0.5592671616927727,0.12852152456044905,0.35615440607070925,0.8668353894373755,0.015171371376299187,0.05216439565022779,0.01771287692234164,V5_NORMAL:T89:S0:W000099000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
100.0,105.0,102.5,142,1.0,1.0,0.0,617.3867654999102,42.757209054573316,284.03540071142726,0.46006072138821796,124.71284451765182,90.82644650137128,750.549289901721,114.34136776746729,0.07794552782353238,0.4690933061885756,1447.8430533554438,0.25286240458246423,0.09929078014184398,0.5114004757202848,0.10129175883382276,0.32489877939224243,0.8727520257654323,0.011645674394236869,0.042392508188883404,0.01723487521020839,V5_NORMAL:T89:S0:W000100000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
