table,feature,rows,nan_rate,inf_count,min,p01,median,p99,max,hard_validity_pass
group_frame,group_centroid_x_norm,3150,0.0025396825396825397,0,0.23007990121841432,0.2979446973800659,0.49249090154965713,0.6702516897916794,0.8062336444854736,True
group_frame,group_centroid_y_norm,3150,0.0025396825396825397,0,0.2174059036705229,0.2963797031707234,0.45237393379211427,0.6658133670488994,0.6907452901204427,True
group_frame,mean_nnd_diag,3150,0.10761904761904761,0,0.05379492974571164,0.08433495511637476,0.1900844156049814,0.4658347786478199,0.4709087111206569,True
group_frame,median_nnd_diag,3150,0.10761904761904761,0,0.03909570319199998,0.06371120998891174,0.1714740993254901,0.4658347786478199,0.4709087111206569,True
group_frame,mean_pairwise_distance_diag,3150,0.10761904761904761,0,0.06308916755778533,0.11652064813746886,0.24983539390515763,0.4658347786478199,0.4709087111206569,True
group_frame,median_pairwise_distance_diag,3150,0.10761904761904761,0,0.06308916755778533,0.11520808521660329,0.2653347433770829,0.4660918027135975,0.4709087111206569,True
group_frame,min_pairwise_distance_diag,3150,0.10761904761904761,0,0.01246053410111108,0.038065933891417804,0.15286761799108603,0.4658347786478199,0.4709087111206569,True
group_frame,max_pairwise_distance_diag,3150,0.10761904761904761,0,0.06308916755778533,0.11756899824808319,0.33199252244641775,0.5177133020995065,0.5276581130354834,True
group_frame,group_rms_radius_diag,3150,0.0025396825396825397,0,0.0,0.0,0.1460284334723252,0.23280508473031852,0.23545435556032848,True
group_frame,group_bbox_area_ratio,3150,0.0025396825396825397,0,0.0,0.0,0.09160737329441099,0.2638197443782733,0.29854485774032796,True
group_frame,group_convex_hull_area_ratio,3150,0.43746031746031744,0,6.46112533293793e-05,0.0004358039748999697,0.0518535940038322,0.14454559345177714,0.16567030001052369,True
group_frame,group_polarization,3150,0.1546031746031746,0,3.061616997868383e-17,0.004357543849562098,0.5369851899456912,0.9999628704022786,1.0,True
group_frame,n_valid_headings,3150,0.0,0,0.0,0.0,2.0,5.0,6.0,True
group_window,window_start_sec,167,0.0,0,0.0,0.6600000000000001,41.0,111.34,113.0,True
group_window,window_end_sec,167,0.0,0,5.0,5.66,46.0,116.34,118.0,True
group_window,window_mid_sec,167,0.0,0,2.5,3.16,43.5,113.84,115.5,True
group_window,expected_frames,167,0.0,0,85.0,85.0,86.0,97.0,97.0,True
group_window,frames_with_any_track,167,0.0,0,85.0,85.0,86.0,97.0,97.0,True
group_window,group_frame_coverage,167,0.0,0,0.9278350515463918,0.9960465116279069,1.0,1.0,1.0,True
group_window,frames_with_2plus_tracks,167,0.0,0,9.0,19.0,86.0,97.0,97.0,True
group_window,social_metric_frame_ratio,167,0.0,0,0.09375,0.1958762886597938,1.0,1.0,1.0,True
group_window,mean_active_tracks,167,0.0,0,1.09375,1.1958762886597938,2.7325581395348837,4.6371627906976745,4.790697674418604,True
group_window,median_active_tracks,167,0.0,0,1.0,1.0,3.0,5.0,5.0,True
group_window,min_active_tracks,167,0.0,0,0.0,0.6600000000000001,2.0,3.3400000000000034,4.0,True
group_window,max_active_tracks,167,0.0,0,2.0,2.0,4.0,6.0,6.0,True
group_window,mean_group_centroid_x_norm,167,0.0,0,0.3297361293404373,0.33184060708787994,0.4925677079331966,0.5944675506646281,0.6052254967805412,True
group_window,mean_group_centroid_y_norm,167,0.0,0,0.3360770062157531,0.33869522251735523,0.4531056291322391,0.5928866417796113,0.5946404978886151,True
group_window,mean_nnd_diag,167,0.0,0,0.10007546989473615,0.10461006018094537,0.1946254506432953,0.4112380571492065,0.42934452066961254,True
group_window,median_nnd_diag,167,0.0,0,0.08692645199506614,0.08801675255468411,0.16976655927324064,0.4598234942563296,0.4613347202677008,True
group_window,mean_pairwise_distance_diag,167,0.0,0,0.15675126597687586,0.15910224574577578,0.2542782157622602,0.42126092804470866,0.44257194553907797,True
group_window,median_pairwise_distance_diag,167,0.0,0,0.14220162481339138,0.14453092731702483,0.2630595860249202,0.4603240634591539,0.4613972943691032,True
group_window,mean_group_rms_radius_diag,167,0.0,0,0.01501768343760015,0.025015207374677436,0.14616902485073968,0.20859065896746098,0.21080215763372737,True
group_window,median_group_rms_radius_diag,167,0.0,0,0.0,0.0,0.1450415849259501,0.2295684756391866,0.23020746960729288,True
group_window,mean_group_bbox_area_ratio,167,0.0,0,0.010323400510616918,0.012470930868208472,0.10192699419822,0.20065310610996326,0.20761809410121426,True
group_window,mean_group_convex_hull_area_ratio,167,0.0718562874251497,0,0.008060595518475145,0.008248174302224914,0.04860552775487512,0.11594090024271377,0.11969126032961304,True
group_window,mean_group_polarization,167,0.0,0,0.35340644226568724,0.4172693698208344,0.5529605416894348,0.770617509633448,0.8091613595904258,True
group_window,median_group_polarization,167,0.0,0,0.3592112667685298,0.37332671811090495,0.5349989236189261,0.8527741053416985,0.8621174111004823,True
group_window,polarization_valid_frame_ratio,167,0.0,0,0.08333333333333333,0.17525773195876287,0.9418604651162791,1.0,1.0,True
