trajectory_uid,video_id,pred_track_id,trajectory_segment_id,points,observed_points,interpolated_points,duration_sec,mean_raw_step_px,mean_clean_step_px,max_clean_step_px
V3_FEEDING:T132:S0,V3_FEEDING,132,0,74,74,0,2.5666262133431132,2.456044134563413,2.164722175745044,7.495939535512234
V3_FEEDING:T133:S1,V3_FEEDING,133,1,302,302,0,10.582938222140768,4.264600431500967,4.0750091112571605,19.022398065618756
V3_FEEDING:T134:S0,V3_FEEDING,134,0,150,150,0,5.238730216275663,3.823432406830955,3.5862361968827137,17.97301584438714
V3_FEEDING:T134:S1,V3_FEEDING,134,1,24,21,3,0.8086630535190551,5.8788984613090385,4.115195758888666,8.451194685861
V3_FEEDING:T134:S2,V3_FEEDING,134,2,96,95,1,3.340130003665692,4.7518227074257675,4.232639212556022,17.147470102036714
V3_FEEDING:T135:S0,V3_FEEDING,135,0,211,211,0,7.383445271261003,4.645846973925886,4.09405754979666,21.23323095675729
V3_FEEDING:T135:S1,V3_FEEDING,135,1,19,19,0,0.6328667375366592,8.885841189545362,7.012023666110112,13.585991670156558
V3_FEEDING:T135:S2,V3_FEEDING,135,2,505,505,0,17.720268651026387,4.719029501367305,4.398091476899398,30.275317210084197
V3_FEEDING:T136:S0,V3_FEEDING,136,0,14,14,0,0.45707042155424915,2.605705464555541,2.015779618240182,5.1802492730702845
V3_FEEDING:T136:S1,V3_FEEDING,136,1,30,27,3,1.0196186326979557,6.095515606543686,5.578904812818234,9.828569480737377
V3_FEEDING:T136:S2,V3_FEEDING,136,2,23,23,0,0.7735037903225788,3.0959453887543713,2.4622580854857574,5.220733642578125
V3_FEEDING:T137:S0,V3_FEEDING,137,0,281,280,1,9.844593695014652,2.641071253919038,2.292690875370699,13.258195575774298
V3_FEEDING:T13:S1,V3_FEEDING,13,1,12,12,0,0.38675189516129027,6.298185772857225,3.140027330103801,5.925820018745847
V3_FEEDING:T140:S0,V3_FEEDING,140,0,46,46,0,1.5821668438416339,1.6200154773683295,1.3566681541085266,4.6485825630200965
V3_FEEDING:T140:S1,V3_FEEDING,140,1,20,20,0,0.6680260007331498,3.565586073266982,3.076297511107249,5.647452847444306
V3_FEEDING:T141:S0,V3_FEEDING,141,0,216,216,0,7.559241587243406,4.219590239400503,3.87722738735437,20.644267078719672
V3_FEEDING:T142:S0,V3_FEEDING,142,0,88,88,0,3.0588558980938387,4.324712404019133,3.8926837563700247,11.619715232230288
V3_FEEDING:T145:S0,V3_FEEDING,145,0,595,594,1,20.88460233870967,1.7200756000470023,1.3647466936766106,18.588873069292305
V3_FEEDING:T145:S1,V3_FEEDING,145,1,134,134,0,4.676182005131963,1.6727635878071054,1.2655717742722008,6.285946409594645
V3_FEEDING:T148:S0,V3_FEEDING,148,0,13,13,0,0.4219111583577728,1.9393098625684908,1.756096107942574,2.9206650316104423
V3_FEEDING:T14:S0,V3_FEEDING,14,0,8,8,0,0.2461148423753663,2.0787297745187505,0.6322268186698263,1.25016362420971
